experiment,model,model_type,language,accuracy,f1_score,precision,recall,tp,fp,tn,fn,agreement_rate,total_samples,total_classified,unclear_responses,error_responses,n_samples_loaded,timestamp,file,sample_size
3,deepseek,local,arabic,0.7907,0.7736,0.8428,0.7149,1785.0,333.0,2164.0,712.0,0.9619,5000.0,4994.0,2.0,4.0,5000,20260411_172543,deepseek-local_arabic_20260411_172543.json,5000.0
3,deepseek,local,chinese,0.6476,0.5158,0.8261,0.375,936.0,197.0,2293.0,1560.0,0.9607,5000.0,4986.0,7.0,7.0,5000,20260407_230434,deepseek-local_chinese_20260407_230434.json,5000.0
3,deepseek,local,urdu,0.7188,0.677,0.7966,0.5885,1469.0,375.0,2114.0,1027.0,1.0,5000.0,4985.0,14.0,1.0,5000,20260412_060355,deepseek-local_urdu_20260412_060355.json,5000.0
3,gemini,online,arabic,0.8665,0.86,0.9046,0.8196,2049.0,216.0,2282.0,451.0,0.9384,5000.0,4998.0,2.0,0.0,5000,20260404_050147,gemini_arabic_20260404_050147.json,5000.0
3,gemini,online,chinese,0.7112,0.6606,0.801,0.562,1405.0,349.0,2151.0,1095.0,0.9321,5000.0,5000.0,0.0,0.0,5000,20260404_050209,gemini_chinese_20260404_050209.json,5000.0
3,gemini,online,urdu,0.8984,0.9016,0.8744,0.9304,2326.0,334.0,2166.0,174.0,0.8384,5000.0,5000.0,0.0,0.0,5000,20260404_200010,gemini_urdu_20260404_200010.json,5000.0
3,gemma,local,arabic,0.8344,0.8302,0.8519,0.8095,2019.0,351.0,2143.0,475.0,0.9154,5000.0,4988.0,0.0,12.0,5000,20260407_151636,gemma_arabic_20260407_151636.json,5000.0
3,gemma,local,chinese,,,,,,,,,,,,,,3570,20260414_231506,gemma_chinese_20260414_231506.json,
3,gemma,local,urdu,0.8726,0.8722,0.8752,0.8692,2173.0,310.0,2190.0,327.0,0.6154,5000.0,5000.0,0.0,0.0,5000,20260407_052201,gemma_urdu_20260407_052201.json,5000.0
3,llama,local,arabic,0.8234,0.8255,0.8159,0.8352,2088.0,471.0,2029.0,412.0,0.7815,5000.0,5000.0,0.0,0.0,5000,20260405_052523,llama_arabic_20260405_052523.json,5000.0
3,llama,local,chinese,0.6826,0.6039,0.8029,0.484,1210.0,297.0,2203.0,1290.0,0.5241,5000.0,5000.0,0.0,0.0,5000,20260405_062855,llama_chinese_20260405_062855.json,5000.0
3,llama,local,urdu,0.8536,0.863,0.811,0.922,2305.0,537.0,1963.0,195.0,0.6372,5000.0,5000.0,0.0,0.0,5000,20260405_083134,llama_urdu_20260405_083134.json,5000.0
3,openai,online,arabic,0.8018,0.7594,0.966,0.6256,1564.0,55.0,2445.0,936.0,0.826,5000.0,5000.0,0.0,0.0,5000,20260404_050755,openai_arabic_20260404_050755.json,5000.0
3,openai,online,chinese,0.6398,0.4739,0.8787,0.3244,811.0,112.0,2388.0,1689.0,0.8219,5000.0,5000.0,0.0,0.0,5000,20260404_050552,openai_chinese_20260404_050552.json,5000.0
3,openai,online,urdu,0.8944,0.8864,0.9595,0.8236,2059.0,87.0,2413.0,441.0,0.7972,5000.0,5000.0,0.0,0.0,5000,20260404_200713,openai_urdu_20260404_200713.json,5000.0
