Text,Label
hr pal hr sans mayosii andheron mahinn doba hahi mera dil,mild
subah hogayi abhi nend rahy,mild
nend nhi kal mujhe tension mre,mild
was reading this i felt so bed myself mne likha r m khud bhol hun yh bat,mild
jo andr ajeb c udas iska krun,mild
ahik ajeb naumidi se gahi dil khon anso ro hy,mild
muskurahaton pichhe chhipi mayosiat kahisi khud dil mahinn dafna rakhe drd kahani kahisy,mild
sbse bda muhra establishment prvez ilahi samjta but afren us bnde us unbelievable perform kia abi tk kisi b umed nahi k itna suffer skta i really appreciate him baki bat mayusi to hm mayus tb hn ge jis din khan gv up kre,mild
mere aulad mahromi mujhe andr kha hahy,mild
yadon mujhe rulaya hr muskurahat ronna ban gayy,mild
buhat dukh sath aug ghuzr rhi ak ajeb se udas dil veido rula dea,mild
mujhe kam tawajo nahi pa,mild
ziada thakwat bad nend bi a rhy,mild
khati nahi aur wazan bhr hahy,mild
jab us tawajo kami thodi si khudbakhud a gayi ankhon nami thodi si ashfaq husein,mild
wazan bhr hahi mera,mild
ehsas mehromi mr hu,mild
meri itni taklefe bhr gayi ke sab bhol hon,mild
drd bhri mehromiat meri ankhon nam dia,mild
ummed woh chali gayi sirf mayosion samna,mild
yeh tadpan yeh uljhan kahise ji lu tere bin,mild
ajeb bechayni horahi yr fel sick,mild
insan kitna ajeb lahasil bechahi rehta hasil jaye toh beprwah,mild
khud maf nahi pa hon mahinne be prwahi mahinn apna rishta kho,mild
mujhe rone adath gayi puri zindagi bas roti hu,mild
sust hokr apne phone social media mahinn waqt brbad krta hon,mild
mehromiat hawaon meri roh chu lia,mild
hr chiz mehrom hona mera muqadr ban hahy,mild
mei khush hon magr kesi bechayni rahe,mild
mehrom dil rishta kamzor pad hahy,mild
mehromyat ehsas waqt hahy,mild
srdion sham mahinn ajeb sa sannata udas bechahi si jahise galat raha jahise trahin chut hahy,mild
apazubeda sirzahidhamid uff hamri kismet mahinn lon kaprey nahi badi mehromyat mahinn zindagi guzr rahe,mild
ahik ajeb sakon is akelypan mahin ahik bechayni bhe,mild
meri itni taklefe bhr gayi ke sab bhol hon,mild
dr lagda be prwahi da,mild
feling ajeb si bechayny,mild
yr mereko khud itni bechaeni rahi intezr nahi rha,mild
tak novel pura nahi kia lagta ke mere dilchaspi kamy,mild
zindagi is safr mahinn ulajhaon sath chhodna asan nahy,mild
itni asani mera pir bhol,mild
uske jane mahromi meri zindagi mahinn drd bhr dia,mild
sapne tot gaye ek krke jahise zindagi mayos kr mera sath chhut ho,mild
tw mehromi ulfut saza dey mujh hero,mild
agr ap yhn mjy yei khty hn insan umed bt rha dunia to mei yei kahon khuda khud btadia dunia sahry makri k jalay b kamzor hn yhn apko anxiety depresion k patients naxr ayngy is hal tk is leh pohnchy k naumed gye,mild
buhat dukh sath aug ghuzr rhi ak ajeb se udas dil veido rula dea,mild
srry zra bhok lagty,mild
rozana jaldi utha nahi khud hr roshni chhin gayi lagty,mild
hr swas seh juri dhadkan tum hr bechayni disha tum hr badlav shurwat tum hr intezr anth tum hr branokhi apni shaurya milne sabot tum shaurya anokhi kahani tum nahi ji sakte tumhre bina se son sakk,mild
najuk dil kaun samjha bechahie toh reheti teamipzn rule herts,mild
sacha dost kon aj kal jisy millo mayusi hoty,mild
hosle kami hr kadam lagta jahise mushkil,mild
yadon bholna lamba mushkil safr,mild
aj phir bohot udas,mild
mohbbt agr waqae mohbbat to bezri nh hoty,mild
la prwahi semahinn apne expenses monitor nahi kia jiski wajah financial isues aye,mild
dil kay rastay kesii thokr mene khahii totay khwab sray eik mayosii hahii chahiy,mild
bhahi bechayni rahi meku,mild
zindagi naumidi bhri pady,mild
jaldi utha nahi zindagi bojh bhri lagta,mild
zyada khanay adat meri physical fitnes bhi nuksan pahunchaya,mild
mr davay be prwahy,mild
naumedi mayusi mtlb ahik lkin ap level py is chz mei mubtala wo differ krta hy,mild
bas das bes sal lie sona taki thakawat thakawat mit jaye,mild
is time ahise tts mat kro bhahi jab sachme bholne koshish rahe hum sab,mild
mujhe kam tawajo nahi pa,mild
meri ankhon mahinn bezri chhupi hahi kisi bhi nahi keh sakta,mild
waqt dilchaspi shoq kamy,mild
yh ajeb c bechahi pata nahi hoi rhy,mild
jany naumidi horahy,mild
mumkin javab udas dr apna hii khatkhata raha huun qatelshifahi shahir mumkin munafali syedasg subzr sukon kasakk joshiamitabhevo anandnama,mild
unfollow krne bh time hogya pti wale ap naumed hwen hen asa insan kabhi bh leader nhi bn sakta,mild
hr pal mehromi drd taza hahy,mild
beqrri dil sukon dor dia hahy,mild
bechayni kab jaye giiiiiiy,mild
munshyat adi kisi mehromi waja ho,mild
is time ahise tts mat kro bhahi jab sachme bholne koshish rahe hum sab,mild
mahin puri rat bechahi rehti she so god,mild
kitab padhne shauq mujh bachpan tha lekin lagta ke mujh dilchaspi kamy,mild
toh kabhi bholne nahy,mild
unse umed lagaye bahithe jo khud naumedi galay lagaye,mild
phele sab ache tawajo deti lekin pata nahi ho hahy,mild
akela mahinn mere khayalon sath mann kafi bhri thi udas mere pas,mild
depresion mayusi naumedi halat behtri koi sorat nahi nazer a,mild
aj dil dukha hahitum yad ayeanjane log hahiapne kahan dhund payejage soye nahinahisi meri bechaeni atif skandv,mild
jab mahinne madad mangi usne tawajo nahi dikhayy,mild
la prwahi ghr nikalna bhol aur meting lie late gaya,mild
rote rehna ek trah mayosiat hahi mujhe,mild
meri bhrti wazan mujhe bimrion shikr banaya hahy,mild
jo bhi raha humahinn bataya dikhaya hahi lekin israel jo hota hahi humahinn bhi livestream media social media dikhaya chahie kionkey sirf palestini awam yeh hal dekh dil naumed honey lag hahi lekin jab,mild
itna mayos gaya zindagi seke kuch samj nahi rha,mild
beqrri hr chez rangin hone rok dia,mild
mera wazan bhohot kam gaya jis waja mahinn bohot buri lagty,mild
hr kadam bezri mere dil ghira hahy,mild
mera bas rone kam ab,mild
umr bhri bechahi mei janmon ram mohabbat,mild
meri ankhon mahinn dekha gayi udas mujh dilchaspi kami drust krty,mild
toh office time rona atha,mild
pls krlo exchange lekin mujhe nahin lagta jab tak zakham bhrengy tab tak nend a sakegi bechayni besukony,mild
dawahi leni aj bhut tension,mild
yr bahot chidchida gaya sabko sunata rehta ghr office please mujhey swet polite bana do,mild
hyd mahin hasen mausam hta ni loml ahsas mehromiat hn,mild
yh udas kabhi khatm hogy,mild
mehrom meri ratein lambi dy,mild
akela mahinn mere khayalon sath mann kafi bhri thi udas mere pas,mild
project bre mahinn fahisla lene mahinn mushkil keun dono options mahinn apneapne fahide nuksan,mild
hum abhi tak itni bri nahimat mehrom,mild
thaka hon zindagi lagti jahise lambi safr thakan,mild
ne use madad mangne koshish lekin usne mujhe thawajuh nahi dy,mild
zindagi important fahislon lena hamesha mushkil crer relationships personal growth raste chalna fahisla lene mahinn mushkilat chunaution samna krne kehta hahy,mild
adat gayi bunny bat krne ek din msg aye bechahi jati hon,mild
sust hokr apne family sath quality time spend nahi krta,mild
bestf sahid rona nahi mera rona nikal,mild
sirf ghammo tawajo dete,mild
hr jagha mayosiy,mild
yadon teri yun bahta tanhayi dil siskta na jane mayosi lamhon dilodimag mahinn ulajta naumedgi tere ishq phir haq wafa mangta written by pretirajkotia zididilmanena sonysab sonyliv kunalkrankapor tvshow,mild
mere aulad mahromi mujhe andr kha hahy,mild
udas mahinn depresion mahinn,mild
udas bayan nhi sakta,mild
phir wahi udas,mild
bechahie b apna maza h,mild
hr pal hr sans mayosii andheron mahinn doba hahi mera dil,mild
depresion ajeb nahi ye ajeb si udas srdio ana woh mausam bdlna yad dilata ke phrse sal guzr hahi app abhi tak nahi aye,mild
khana kha bhi dil mahinn udas si rehty,mild
there a constant restlesnes me bahut ajeb si bechahie rahy,mild
susti control ni hoti hm broye sri chezahin kahisy kry control,mild
mahromi rahi hahibalke gunaho jazbat pahida rahe behtr yahi ke jab tak itmenan tab tak avoid kia jaye keuke agr ap anjane mahinn hram kha lete ho ap hram khane gunah bhale nahi hoga lekin hram taser to bahr hal,mild
mithahi kha kha susti a gayy,mild
la prwahi mere relationships affect kia dostian kamzor,mild
behis lamhe mere dil cho lia,mild
hr waqt udas rehta mahinn,mild
meri tnsn lia kro to apni udas bhi meme bdl lahity,mild
month mulk bechahie and pata nahi hoga es mulk allah jald sab behtr kre,mild
susti mahinn rehkr apni life enjoy nahi pa,mild
bhahi month braces bht annoying bakwas worst uljhan dali v mujhe,mild
why do people commit suicide log khdkushi krty hymausi naumidi depr,mild
aj mujhe us bohot mayos dia kuch krne dil nahi raha,mild
rangen khayalo uljhan jaha,mild
bhi nahi krunga beghahirat behis,mild
mehrom dil mahinn ajeb si bechahi sy,mild
subah ayi lekin jaldi utha nahi lamhahi drd bhry,mild
rona gotta go,mild
thaka hon dil mahinn ek bechahi jise bayan nahi sakta,mild
udas depresion tabhi bnda itna limited jaya nazr nhi aya,mild
malal bhi zindagi mahinn masla sirf ishq nahi udas,mild
meri wazan bhrne waja khud,mild
aj mujhe bahut susti mehsos rahi kuch krne bilkul mod nahy,mild
bilkul acha nahi lagta kash khud tawajo di hoty,mild
lanati umed is naumedi behtr,mild
subah roshni mahromi nahi bhula sakty,mild
nend aja yr hrs lie sahy,mild
bechaeni si chayi huvi kea ghamezulm ki mere hath pathna shuru hogaye,mild
jo andr ajeb c udas iska krun,mild
aj mera damag khrb huya v bhutak aj thakwat itny zahida upr say damag ahisa khrb kia va k pochy,mild
apko nahi pta apni zindagi kitna naumed gya,mild
fir bhok lgne wali elvishyadav maggie bhej do wc chakkr khana khaya,mild
beqrr dil kuch samajh nahi a hr pal lagta tanha,mild
jo bhi raha humahinn bataya dikhaya hahi lekin israel jo hota hahi humahinn bhi livestream media social media dikhaya chahie kionkey sirf palestini awam yeh hal dekh dil naumed honey lag hahi lekin jab,mild
mis spaces himat nahi hoti dil krta space banane or susti hahy,mild
sust hokr bed leta hon,mild
mujhe apni qismat rona rha,mild
thaka hon ankhon mahinn ek udas dil cho hahy,mild
meri wazan bhrne waja khud,mild
why do people commit suicide log khdkushi krty hymausi naumidi depr,mild
ap kahahi deal k chlahin jayn behis nahi niqlunga,mild
apne maqsadon mahinn mayos hokr andheron mahinn doba hon,mild
beqrr raton mahinn hr sans lagti jahise afsos,mild
ap kahahi deal k chlahin jayn behis nahi niqlunga,mild
kam khanay adat meri chehre kamzori asr dikhaya,mild
phir kambakht kashti nazretofan gahi vrna sahil udas qadr hotii nahiin qabilajmeri shahir tofan kasakk sukon subzr anandnama munafaly,mild
behis lamhon mahinn ne apne asal ap kho dia,mild
meri susti mere goals achieve rok dia,mild
meri khamoshi mahromi zuban bol hahy,mild
mujhe bohot zyada khanay adat,mild
aj mera damag khrb huya v bhutak aj thakwat itny zahida upr say damag ahisa khrb kia va k pochy,mild
kabhi kabhi dil wyse bechahi sa jata,mild
meri bhok mr gyi i am just wahiting for this nightmre get over turn on my ps take my frustration out there,mild
aj hon mahin jaga tha brsho soya naumedgi ek hone gum jub mahin jaga u laga kucch pura,mild
hr traf mahromi alam kuch dikhahi nahi deta,mild
hr kadam mahromi ehsas badh hahy,mild
logo dor rehnakbhi kbhi bevajah ronakhud khud sambhalnakabhi chidchida janahayeh mahin huaur aesa hu,mild
ma bap lrahi bad bechaeni peda hoti wo tahjud mn rony bhi khtm ni hoty,mild
bol bhol jaty,mild
why every eid brings udas,mild
mujhe ki shakal dekh mayosi hoti chehra ahik dhokebaz hahi manhosat chahi hahi ye chehra ahik loser,mild
insan fitrat grashopper terhan iztrab beqrri talash na khatm hony wali bemani namalom chiz khoj insan ik jaga rukny nahin thehrao aey zindagi bemuqsad dikhny lagty,mild
mrd humesha apni aurt tawajo data mgr wqt ata jb dhkta k di tawajo koi ehmit nhi phir apni tawajo dusron dta,mild
tumne pocha nahin kabhi sabab meri udas ek sabab bhi meri udas udas,mild
khud pasndi khud prsti nateja apne ap aur dosron bahizry,mild
social media ney salun sey pakistaniun mayosii pheylayii shukria,mild
ap jante na apki khamoshi mujhe bilkul pasand nhi apko khone drti honfir ap trah khamosh nraz mujhe bechahi hoti sorrypls kuchh bolie nrazgi apni jagah pr apna khayal rakha krie khush krielu,mild
khud sawal krta hon lekin jawab lagta jahise zindagi mayos gaya,mild
meri roh behis dil mahinn gehra dukh,mild
tawajuh nahi pa hon personal problems wajah,mild
anjane log apne kahn dhond payein jagey soye nahin aesi meri bechaeny,mild
kal lekr itni bechahi horahy,mild
ruchikokcha meri naumedgi ye dikha dia mujhe mujh jahisa gum mila tujhe tu shikeaton hahi befikriaton me teri shayri ye sikha dia mujhemujh jahisa lafz mila tujhe nehalsahny,mild
sirf ghammo tawajo dete,mild
behis mera dil tor dia,mild
bro mujhay bachpan say iski smell say uljhan hoty,mild
jaldi utha nahi zindagi safr kitna lamba lagta,mild
ankho mahinn bezri jab usne apne sapnon tutna dekha,mild
bezri mere andr andhera bhr dia,mild
behis halat mahinn hon tanhahion ehsas,mild
mehrom hokr dil bohot drd raha,mild
sust hokr apne rom saf krne mahinn kamchor hon,mild
uske jane mehromi meri zindagi sunsan dia,mild
mera dil kehta ki smrtphone khredna chahie toh bechahi hon lordofg,mild
ronay dil halka hahy,mild
pta nhi bs rona raha,mild
dil mahinn mehromi drd chhupa hahy,mild
samay ulajhao bhra hahi humahinn iske samna hoga,mild
bechahi maut sath khatam hoti ya use pehle ho hahi justasking,mild
mjhy samj nahi a rhi mujhe kia hahi etny behis gy,mild
sahi bat bas hr chez dukh bohat mayos kia boys,mild
amir bahi mis so much dil nahi lag bohat bechahi kash ap wapis la skte kash ap jate na kun chup chap hmahinn udas ke chale gae,mild
zindagi sakht mayusi hogahy,mild
mulk bechahie month ye ho raha,mild
jism thaka per damagh chala hy non stop,mild
ek msg tref ek bezri bheju ab,mild
office mahinn kam krne bajaye susti mahinn coffe peta hon,mild
mehromiat mere dil tofan mahinn dal dia,mild
chawal sabzi lagta jahise khana tasteles gaya jahise meri zindagy,mild
aj dil bohat khali khali ahik ajeb si udas mujhy andr kha hahy,mild
meri wazan kam hone waja mahinn din ba din zehni mriz hoti ja hu,mild
g asa ghr walon bot mayos keya hy,mild
zindagi imtehan mujhe mayos dia hr pal naya azab,mild
mujhe bahut dukh rha hakhir majbur insan jaye jaye kahahr traf sirf unhe naumidi milti hjra sochie abhi uanpr bet rhi hogy,mild
hr swal jiska jwab mile dil bechaeni pahida deta,mild
mrd humesha apni aurt tawajo data mgr wqt ata jb dhkta k di tawajo koi ehmit nhi phir apni tawajo dusron dta,mild
ahik ye mera rona kabi khatam nahi rona ki kismat hahy,mild
ronna meri tanhahi mahinn chhupa drd,mild
hr bat bhol hu,mild
fahisla lene waqt hr ahire ghahire mashawrat waqt nahi mushkil fahisle lene kelie ap ohda mila is situation mahinn mashawrat kelie ulema nahi doctor bulayein humm sab pata ke doctors raye kia ghr raho hujom kro,mild
pr log dua deserve krte na achi bat sri zindagi ahisi chezon mehromyat deserve krte,mild
zyada khanay adat waja wazan bhr hahi mera,mild
mohabbat mahinn mahromi ehsas dil gehrayon bhr deta,mild
mujhe sirf sirf tawajuh chahie lekin nahi raha,mild
hence proved jitne mrzi protest lahin jitni mrzi rally nikal ho wohi ye behis leaders chaye ge israelterorrist gazagenocide,mild
dil mahinn mehromi drd chhupa hahy,mild
bechahi si mei bekhabr sa sangenghalty,mild
ap fir bi susti dekhanehahy,mild
aj kal bohot susti hue we kam krne mod ny,mild
aj naumedi si rhy,mild
mera dil kehta ki smrtphone khredna chahie toh bechahi hon lordofg,mild
mahin chidchida hone hu yes correct,mild
office walon mayos kia,mild
dekh rahe na aj likh kal mahinn khud bhol jane waly,mild
mayosi dusra nam umedy,mild
umr bhri bechahi mei janmon ram mohabbat,mild
ias thakwat lie medicine injection bta dyna doctor,mild
shrminda hon lekin sachahi hahi mahinn be prwahi mahinn jab mahinne apna phone kho dia,mild
zindagi is safr mahinn ulajhaon sath chhodna asan nahy,mild
meri ankhon mahinn mahromi ehsas jahise kisi sab chen lia,mild
bechahi si mei bekhabr sa sangenghalty,mild
yad toh nend nhi ati nend toh sre khawab uske,mild
hr asha rah mahinn khadi mayosi mere iradon dagmagaty,mild
itni behis wo na kia,mild
dil mahinn mehromi drd chhupa hahy,mild
dil sukon ab nahi miltha jab mahinne ronay lagta,mild
aj mera damag khrb huya v bhutak aj thakwat itny zahida upr say damag ahisa khrb kia va k pochy,mild
shadi fahisle lene mahinn mushkil hoti keunki families bech mahinn compatibility isue,mild
judahi meri ankhon rone majbor kia,mild
dil bechaeni kisko sunau,mild
la prwahi semahinn apne expenses monitor nahi kia jiski wajah financial isues aye,mild
toh mere apne mujhe ronay majbor rahe,mild
shrminda hon lekin sachahi hahi mahinn be prwahi mahinn jab mahinne apna phone kho dia,mild
nend nhi kal mujhe tension mre,mild
jaldi utha nahi ankhon mahinn basi kuch khwahishen adhory,mild
khud sawal krta hon lekin jawab lagta jahise zindagi mayos gaya,mild
behis halat mahinn hon tanhahion ehsas,mild
everything temporry but rona permanent,mild
dil kay rastay kesii thokr mene khahii totay khwab sray eik mayosii hahii chahiy,mild
meri wazan bhrne waja khud,mild
meri bechahie kisi nazr nahi athy,mild
lekin mehromi ksy dor o,mild
khud pasndi khud prsti nateja apne ap aur dosron bahizry,mild
allah shukur ajeb bechayni thinjab khabr suni yaqen nahi raha tha,mild
hr rishta bikhr hahi jahise zindagi mayos hokr usne hume thukra dia,mild
jaldi utha nahi hr pal ek tanha safr,mild
mushkil fahisle lene pad rahe pak mahinn,mild
bol bhol jaty,mild
udas mahinn depresion mahinn,mild
prediction aj rat tumhe nend nahi ayegy,mild
meri roh behis gayi dil koi umed nahy,mild
ghr walon mayos kia,mild
yad toh nend nhi ati nend toh sre khawab uske,mild
khud sawal krta hon lekin jawab lagta jahise zindagi mayos gaya,mild
qudrat qanon agr tum dunia mahinn kisi bechahi kroge tum chahi sakon zindagi nahi guzr paoge,mild
yad toh nend nhi ati nend toh sre khawab uske,mild
pa lene bechaeni kho dene drr itna h zindagi safr,mild
roti khate hue lagta jahise adhora sa,mild
traveling mere pehle jitna exciting nahi lag lagta ke dilchaspi kamy,mild
rat bhr jagte soch keun zindagi mayos gaye hum itna,mild
mere chre itne udas keu bhahi abhi ti depawali patako awaz rahehahy,mild
bechayni nahen lekin bas ahisa lag hahi mera kutta banne hahi aj,mild
meri halath bayan krete howe rona aya mujhe,mild
mere chre itne udas keu bhahi abhi ti depawali patako awaz rahehahy,mild
thaka hon hr koshish lagti jahise hasil nahi hone,mild
